,NOMBDIST,NOMBPROV,NOMBDEP,POBLACION,DISTANCIA,riesgo
1518,SANTIAGO DE PAUCARAY,SUCRE,AYACUCHO,583.0,229.83728980197813,35.55344692035752
1519,SANCOS,HUANCA SANCOS,AYACUCHO,3257.0,268.4876453545713,7.9410648947372735
1520,CHALCOS,SUCRE,AYACUCHO,477.0,257.1973613512285,8.1845206984857
1521,ACCOMARCA,VILCAS HUAMAN,AYACUCHO,873.0,264.1614730641169,8.032826672569676
1522,BELEN,SUCRE,AYACUCHO,327.0,262.53527633026704,8.067818582134812
1523,CARAPO,HUANCA SANCOS,AYACUCHO,1881.0,276.33607551306113,7.779763615669245
1524,HUAMBALPA,VILCAS HUAMAN,AYACUCHO,1381.0,271.3103582666527,7.882265230533275
1525,HUAMANQUIQUIA,VICTOR FAJARDO,AYACUCHO,1133.0,285.31002156815913,7.60414543885751
1526,HUANCAPI,VICTOR FAJARDO,AYACUCHO,1966.0,269.9066198771769,7.911398360144011
1527,CARHUANCA,VILCAS HUAMAN,AYACUCHO,828.0,269.87229436736214,7.91211344020272
1528,SAURAMA,VILCAS HUAMAN,AYACUCHO,1084.0,273.5833766624126,7.8355525531982675
1529,VILCAS HUAMAN,VILCAS HUAMAN,AYACUCHO,6889.0,281.1072449781934,7.685167646903333
1530,ALCAMENCA,VICTOR FAJARDO,AYACUCHO,1529.0,288.39757010146917,7.54606095686635
1531,VILCANCHOS,VICTOR FAJARDO,AYACUCHO,2499.0,307.02234084423776,7.224241490272961
1532,PARURO,PARURO,CUSCO,3562.0,315.42544550425697,7.097117338221357
1533,VELILLE,CHUMBIVILCAS,CUSCO,8642.0,243.12496595257207,18.693617173683602
1534,CONDOROMA,ESPINAR,CUSCO,949.0,266.4137355923554,7.98481027141644
1535,PAMPAMARCA,CANAS,CUSCO,1938.0,305.69514528238545,7.245419232508301
1536,HUARO,QUISPICANCHI,CUSCO,4987.0,323.63545605938793,6.98543706797434
1537,ESPINAR,ESPINAR,CUSCO,38885.0,258.04847262054693,24.99517098692715
1538,COPORAQUE,ESPINAR,CUSCO,11121.0,244.16144689449072,16.53460019380817
1539,SANTIAGO DE QUIRAHUARA,HUAYTARA,HUANCAVELICA,345.0,281.8626279198255,7.670442820846618
1540,CORDOVA,HUAYTARA,HUANCAVELICA,930.0,302.4238915507142,7.298832220929141
1541,LARAMARCA,HUAYTARA,HUANCAVELICA,802.0,305.62545720457774,7.246539188875721
1542,HUAYACUNDO ARMA,HUAYTARA,HUANCAVELICA,409.0,353.23537830988306,6.709331856738583
1543,NASCA,NASCA,ICA,31037.0,226.52431710006852,41.348745038214474
1544,MARCONA,NASCA,ICA,17914.0,210.87061767711953,40.980059809798945
1545,TIBILLO,PALPA,ICA,382.0,291.1497489160433,7.495351823193769
1546,LA TINGUIÑA,ICA,ICA,45359.0,340.2274907226296,24.99683287015795
1547,PARCONA,ICA,ICA,62000.0,338.80191536237544,24.9968249364799
1548,SANTIAGO,ICA,ICA,31224.0,290.6742050638957,24.996235127754346
1549,ANDARAPA,ANDAHUAYLAS,APURIMAC,5721.0,293.517072702704,7.452563123055539
1550,ONGOY,CHINCHEROS,APURIMAC,2471.0,303.78409582904624,7.276415704072467
1551,LIMATAMBO,ANTA,CUSCO,8194.0,313.2915423224773,7.128224300038896
1552,PUCYURA,ANTA,CUSCO,3349.0,326.71257493147016,6.947045671299298
1553,HUANCARANI,PAUCARTAMBO,CUSCO,7925.0,348.5736191748764,6.737538885125138
1554,CALCA,CALCA,CUSCO,23305.0,354.61629432293984,24.996517658645374
1555,HUAYLLABAMBA,URUBAMBA,CUSCO,6192.0,343.03083700216246,6.779196635700318
1556,POROY,CUSCO,CUSCO,2732.0,327.41804960413447,6.9385243834174455
1557,SAYLLA,CUSCO,CUSCO,6214.0,333.2441336776307,6.87232728249071
1560,KIMBIRI,LA CONVENCION,CUSCO,19531.0,391.97914967458996,
1561,CHINCHAYPUJIO,ANTA,CUSCO,4514.0,305.85445588945436,7.2428619225771556
1562,CONCEPCION,VILCAS HUAMAN,AYACUCHO,1757.0,293.151855082315,7.459113368187574
1563,CANGALLO,CANGALLO,AYACUCHO,5998.0,292.3418709285308,7.473707225525715
1564,MARIA PARADO DE BELLIDO,CANGALLO,AYACUCHO,2175.0,300.8239255678786,7.325570152604542
1565,PARAS,CANGALLO,AYACUCHO,4437.0,329.7157646803754,6.911515852082085
1566,QUINUA,HUAMANGA,AYACUCHO,5432.0,350.7815273694032,6.723371824197027
1567,PACAYCASA,HUAMANGA,AYACUCHO,3401.0,354.19529472681745,6.704341889250735
1568,PAUCARTAMBO,PAUCARTAMBO,CUSCO,13642.0,377.88247030173994,
1569,COYA,CALCA,CUSCO,3763.0,343.4622755035678,6.775652279265157
1572,CASTROVIRREYNA,CASTROVIRREYNA,HUANCAVELICA,3125.0,389.1182069531474,
1575,SAN ANTONIO DE ANTAPARCO,ANGARAES,HUANCAVELICA,2462.0,358.8899588266839,6.684176627975959
1576,JULCAMARCA,ANGARAES,HUANCAVELICA,1734.0,364.48393249822374,6.669888131884111
1649,TINTAY,AYMARAES,APURIMAC,2349.0,250.20780583373332,8.341406838622557
1650,SAN MIGUEL DE CHACCRAMPA,ANDAHUAYLAS,APURIMAC,1718.0,243.06638048740257,18.861723910441352
1651,JUAN ESPINOZA MEDRANO,ANTABAMBA,APURIMAC,1767.0,183.83142765144186,47.07425077455318
1652,ANTABAMBA,ANTABAMBA,APURIMAC,2904.0,193.59840848365187,46.024367572677
1653,HUAQUIRCA,ANTABAMBA,APURIMAC,1953.0,210.80810964028203,42.97784785302321
1654,POCOHUANCA,AYMARAES,APURIMAC,1013.0,215.7379226720983,41.614187540903465
1655,OROPESA,ANTABAMBA,APURIMAC,2443.0,211.75185402036652,42.733236640513766
1656,TURPAY,GRAU,APURIMAC,628.0,227.51028567143223,36.911429970874195
1657,PACHACONAS,ANTABAMBA,APURIMAC,1070.0,218.39921326871897,40.768595235289666
1658,EL ORO,ANTABAMBA,APURIMAC,552.0,223.89520267271857,38.66765300113595
1659,CAPAYA,AYMARAES,APURIMAC,578.0,225.16125636345092,38.094026371403665
1660,TUMAY HUARACA,ANDAHUAYLAS,APURIMAC,1974.0,241.3814052383914,22.940893183735433
1661,TAMBOBAMBA,COTABAMBAS,APURIMAC,11066.0,278.0949702549875,10.445153253011158
1662,SAN JUAN DE CHACÑA,AYMARAES,APURIMAC,745.0,251.60012355335954,8.309800019360914
1663,GAMARRA,GRAU,APURIMAC,2833.0,272.0794636281302,7.866395027944718
1664,CIRCA,ABANCAY,APURIMAC,1865.0,246.88027063972356,8.417636351371693
1665,HUANCARAY,ANDAHUAYLAS,APURIMAC,3939.0,263.86042827923086,8.03928421276419
1753,SUBTANJALLA,ICA,ICA,31183.0,354.8450731892026,24.996890551784134
1754,TATE,ICA,ICA,5264.0,331.91392605129323,6.886769773329815
1755,YAUCA DEL ROSARIO,ICA,ICA,1322.0,314.9894740594357,7.103405501504102
1756,ICA,ICA,ICA,169684.0,344.15684990602324,25.000000000000004
1757,PARACAS,PISCO,ICA,8177.0,376.8562501124698,
